Date,Forecasted_Sales
2011-12-10,43538.30256804871
2011-12-11,68872.79258064202
2011-12-12,63773.5139233849
2011-12-13,69886.4326425016
2011-12-14,71820.49413700128
2011-12-15,67250.97393303386
2011-12-16,57175.68234202229
2011-12-17,85721.24404740112
2011-12-18,74106.13179370822
2011-12-19,75364.69024939468
2011-12-20,71158.34955759137
2011-12-21,64749.7527477935
2011-12-22,56112.28384181113
2011-12-23,74301.38286357692
2011-12-24,61026.96312460673
2011-12-25,61219.20187024669
2011-12-26,55076.33158153692
2011-12-27,52121.038934717624
2011-12-28,41110.491267515376
2011-12-29,61173.09170506956
2011-12-30,60989.562849891976
2011-12-31,57671.70151710941
2012-01-01,55538.03769901644
2012-01-02,54519.97909824006
2012-01-03,44322.48681187515
2012-01-04,73224.76633247384
2012-01-05,67277.35655600991
2012-01-06,66710.8809587911
2012-01-07,67504.68642103145
2012-01-08,93035.11647980234
